device_family,command,msg_id,ble_msg_type,mqtt_message_type
home,READ_WIFI_LIST,3001,1,DevicePropertyChange
home,WRITE_WIFI_INFO,3002,2,DevicePropertyChange
home,SEND_TIME_ZONE,3003,3,DevicePropertyChange
home,GET_TIME_ZONE,3004,22,DevicePropertyChange
home,SYNC_MQTT_CONNECT_INFO,3005,99,DevicePropertyChange
home,GET_DEVICE_OTA_VERSION,3006,100,DevicePropertyChange
home,NOTIFY_DEVICE_CAN_OTA,3007,101,DevicePropertyChange
home,NOTIFY_DEVICE_OTA_TOTAL_PAGE,3008,102,DevicePropertyChange
home,DEVICE_GET_OTA_PAGE_DATA,3009,103,DevicePropertyChange
home,SYNC_GRID_STANDARD,3010,105,DevicePropertyChange
home,READ_DEVICE_INFO,3011,106,QueryDeviceProperty
home,BIND_SMART_PART,3012,108,BindSmartAccessory
home,UNBIND_SMART_PART,3013,109,RemoveSmartAccessory
home,READ_SUB_DEVICE_BATTERY_PACK,3014,110,QuerySubDeviceGroupProperty
home,TIMER_TASK_ADD,3015,112,DownloadDeviceSchedule
home,TIMER_TASK_DELETE,3016,112,DownloadDeviceSchedule
home,TIMER_TASK_UPDATE,3017,112,DownloadDeviceSchedule
home,TIMER_TASK_READ,3018,112,DownloadDeviceSchedule
home,READ_SYSTEM_INFO,3019,120,QueryCombineData
home,SYSTEM_GET_STORM_EVENT,3020,23,QueryWeatherPlan
home,SYSTEM_CONTROL_AUTO_STANDBY,3021,121,ControlCombine
home,CONTROL_AC_OFF_GRID_SWITCH,3022,107,DevicePropertyChange
home,CONTROL_STANDBY,3023,107,DevicePropertyChange
home,SUB_CONTROL_SOCKET_SWITCH,3024,111,ControlSubDevice
home,SUB_CONTROL_SOCKET_PRI_ENABLE,3025,111,ControlSubDevice
home,SUB_SET_CT_SCHEDULE_PHASE,3026,111,ControlSubDevice
home,SYSTEM_SET_WORK_MODEL,3027,121,ControlCombine
home,SET_CHARGE_DISCHARGE_LINE,3028,107,DevicePropertyChange
home,SYSTEM_SET_FEED_GRID_POWER,3029,121,ControlCombine
home,CONTROL_REBOOT,3030,107,DevicePropertyChange
home,READ_SUB_DEVICE_CT,3031,110,QuerySubDeviceGroupProperty
home,READ_SUB_DEVICE_SOCKET,3032,110,QuerySubDeviceGroupProperty
home,READ_SUB_DEVICE_METER_HEAD,3033,110,QuerySubDeviceGroupProperty
home,SYSTEM_SET_STORM_EVENT,3034,0,SendWeatherAlert
home,SYSTEM_DELETE_STORM_EVENT,3035,0,CancelWeatherAlert
home,SYSTEM_STORM_EVENT_SWITCH,3036,0,ControlCombine
home,READ_SUB_DEVICE_COMBO,3037,110,QuerySubDeviceGroupProperty
home,CONTROL_MAX_OUT_PW,3038,107,DevicePropertyChange
home,SYSTEM_CONTROL_OFF_GRID_AUTO_SHUTDOWN,3039,121,ControlCombine
home,SYSTEM_SET_OFF_GRID_SHUTDOWN_TIME,3040,121,ControlCombine
home,SYSTEM_SET_TEMP_UNIT,3041,121,ControlCombine
home,FAULT_ALARM_REPORT,3042,122,UploadDeviceAlert
home,SYSTEM_SET_DEFAULT_LOAD_POWER,3043,121,ControlCombine
home,SYSTEM_SET_FOLLOW_METER,3044,121,ControlCombine
home,GET_WIFI_CONFIG,3045,124,QueryWifiConfig
home,SET_THIRD_PARTY_MQTT_CONFIG,3046,113,ThirdPartMQTTConfig
home,GET_THIRD_PARTY_MQTT_CONFIG,3047,114,QueryThirdPartMQTTConfig
portable,DEVICE_GET_OTA_PAGE_DATA,1,103,DevicePropertyChange
portable,GET_DEVICE_OTA_VERSION,2,100,DevicePropertyChange
portable,NOTIFY_DEVICE_CAN_OTA,3,101,DevicePropertyChange
portable,NOTIFY_DEVICE_OTA_TOTAL_PAGE,4,102,DevicePropertyChange
portable,READ_WIFI_LIST,5,1,DevicePropertyChange
portable,READ_DEVICE_INFO,6,3,QueryDeviceProperty
portable,WRITE_WIFI_INFO,7,2,DevicePropertyChange
portable,GET_POWER_PACK_LIST,8,6,DevicePropertyChange
portable,GET_ELECTRICITY_DATA_COUNT,9,7,DevicePropertyChange
portable,CONTROL_OUTPUT_DC,10,0,DevicePropertyChange
portable,CONTROL_OUTPUT_DC_USB,11,0,DevicePropertyChange
portable,CONTROL_OUTPUT_DC_CAR,12,0,DevicePropertyChange
portable,CONTROL_OUTPUT_AC,13,0,DevicePropertyChange
portable,CONTROL_OUTPUT_AC240,14,0,DevicePropertyChange
portable,CONTROL_LIGHT,17,0,DevicePropertyChange
portable,CONTROL_SCREEN,18,0,DevicePropertyChange
portable,SETTING_AUTO_SHUTDOWN_TIME,19,0,DevicePropertyChange
portable,SETTING_ENERGY_SAVING,20,0,DevicePropertyChange
portable,SETTING_CHARGE,21,0,DevicePropertyChange
portable,SETTING_BATTERY,22,0,DevicePropertyChange
portable,SETTING_SUPER_CHARGE,23,0,DevicePropertyChange
portable,SETTING_UPS_MODEL,24,0,DevicePropertyChange
portable,SEND_TIME_ZONE,25,8,DevicePropertyChange
portable,GET_CHARGE_DISCHARGE_PLAN,26,15,QueryElectricityStrategy
portable,ADD_CHARGE_DISCHARGE_PLAN,27,16,InsertElectricityStrategy
portable,UPDATE_CHARGE_DISCHARGE_PLAN,28,17,UpdateElectricityStrategy
portable,DELETE_CHARGE_DISCHARGE_PLAN,29,18,DeleteElectricityStrategy
portable,CURRENT_CHARGE_DISCHARGE_PLAN,30,21,QueryCurrentElectricityStrategy
portable,ENERGY_STORAGE_CHARGE_LIMIT,31,0,DevicePropertyChange
portable,USE_POWER_MODE,32,0,DevicePropertyChange
portable,CUSTOM_USE_BATTERY,33,22,SetBatteryBoundry
portable,AC_OUTPUT_COUNTDOWN,34,0,DevicePropertyChange
portable,DC_OUTPUT_COUNTDOWN,35,0,DevicePropertyChange
portable,DC_USB_OUTPUT_COUNTDOWN,36,0,DevicePropertyChange
portable,DC_CAR_OUTPUT_COUNTDOWN,37,0,DevicePropertyChange
portable,SET_CHARGE_POWER,38,0,DevicePropertyChange
portable,CONTROL_POWER_PACK_BLINK,39,98,ControlSubDevice
portable,AC_OUTPUT_MODE,40,0,DevicePropertyChange
portable,AC_OUTPUT_DELAY_OPEN_TIME,41,0,DevicePropertyChange
portable,SET_PEAKS_TROUGHS,42,130,TOUSchedule
portable,GET_PEAKS_TROUGHS,43,131,QueryTOUSchedule
